endTime,artistName,trackName,msPlayed
2021-02-25 05:14,Maggie Rogers,Alaska,21620
2021-02-25 05:17,BTS,Dynamite,199053
2021-02-25 05:20,BTS,Epilogue: Young Forever,171803
2021-02-25 05:24,Chris Brown,Don't Think They Know (feat. Aaliyah),237986
2021-02-25 05:28,Ed Sheeran,Save Myself,247106
2021-02-25 05:32,Lucky Daye,Late Night,237517
2021-02-25 05:36,BTS,Life Goes On,207481
2021-02-25 05:36,Conan Gray,Heather,17958
2021-02-25 05:41,BTS,Blue & Grey,268093
2021-02-25 05:43,Sabrina Carpenter,"Let Me Move You - From the Netflix film ""Work It""",147070
2021-02-25 05:46,Pink Sweat$,At My Worst,170344
2021-02-25 05:47,Lauv,Fake,24274
2021-02-25 05:50,RM,tokyo,208936
2021-02-25 05:54,Janet Suhh,In Silence,209906
2021-02-25 05:57,Tori Kelly,Paper Hearts,171556
2021-02-25 05:58,Smyang Piano,4 O' Clock,55730
2021-02-25 06:01,The Rose,She's In The Rain,11225
2021-02-25 06:01,Troye Sivan,The Fault in Our Stars,187194
2021-02-25 12:27,Lauv,Paris in the Rain,133120
2021-02-26 01:58,Dean Martin,Everybody Loves Somebody,9362
2021-02-26 02:01,The Beatles,This Boy - Remastered 2009,136070
2021-02-26 02:02,Mary MacGregor,Torn Between Two Lovers,75914
2021-02-26 03:21,Mary MacGregor,Torn Between Two Lovers,154512
2021-02-26 03:22,Sam Cooke,(What A) Wonderful World - Mono,13505
2021-02-26 03:22,Yesterday,I Want To Hold Your Hand,24627
2021-02-26 03:23,Jessie Hock,I'm Easy Like Sunday Morning,55657
2021-02-26 03:26,Ben E. King,Stand by Me,180048
2021-02-26 03:29,Ben E. King,Will You Still Love Me Tomorrow,189506
2021-02-26 03:33,Charles Givings,Easy (LIke Sunday Morning),161644
2021-02-26 03:36,Spotify,Welcome,5458
2021-02-26 03:36,ZAYN,There You Are,199600
2021-02-26 03:37,Spotify,Welcome,6554
2021-02-26 03:41,BTS,Inner Child,233265
2021-02-26 03:45,Taylor Swift,Lover,221287
2021-02-26 03:48,BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],205019
2021-02-26 03:52,John Mayer,You're Gonna Live Forever in Me,190013
2021-02-26 03:55,Tom Misch,Follow,225327
2021-02-26 04:00,BTS,Mikrokosmos,224213
2021-02-26 04:03,Quinn XCII,Stacy,168986
2021-02-26 04:08,BTS,ON (Feat. Sia),246816
2021-02-26 04:19,Lewis Capaldi,Someone You Loved,60906
2021-02-26 07:25,Jeremy Zucker,comethru,181613
2021-02-26 07:39,Louis Tomlinson,Two of Us,217851
2021-02-26 07:42,Lauv,Who (feat. BTS),180413
2021-02-26 07:46,ZAYN,Common,232520
2021-02-26 07:51,LANY,Malibu Nights,286907
2021-02-26 07:55,Lauv,Never Not,208000
2021-02-26 07:55,Selena Gomez,Lose You To Love Me,13985
2021-02-26 07:58,Why Don't We,What Am I,184646
